"path","classification","git_state","comment","size_bytes","last_write_utc","snapshot_branch","snapshot_commit","audit_date"
"__init__.py","Keep","Tracked","Production NodePack implementation or shipped bundle. Retain as primary contract evidence; source repository remains read-only for Wiki work.","1794","2026-08-20T19:13:25Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
"__pycache__/__init__.cpython-312.pyc","Remove","Ignored","Generated dependency, cache, coverage, or build artifact; reproducible and not documentation source. Remove only in an explicitly approved focused cleanup.","2546","2026-08-20T19:15:31Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/.gitignore","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","2","2026-08-19T14:05:01Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/0bc21c73-17e3-4ebc-8b31-f7876985835e.png","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","1320698","2026-08-19T13:22:06Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/35934940-d48a-4fd9-b221-2f1a7d0ac242.png","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","561248","2026-08-19T12:39:11Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/4d321144-e48d-4610-972e-e7522bf6cd60.png","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","1347847","2026-08-19T13:17:26Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/5e8efb83-c2fd-49c3-911e-eb4cb3306008.png","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","1326542","2026-08-19T13:28:39Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/680a09c7-2c52-4655-978a-d524421acedb.png","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","1409351","2026-08-19T13:04:40Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/7843a60f-f436-49ce-b1fb-d6ea70c8f588.png","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","1152403","2026-08-19T12:39:11Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/7af60e04-df99-43b2-8bec-4ec95df4572a.png","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","1380622","2026-08-19T12:57:13Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/7e7e02d2-5485-4351-8234-f18d20333462.png","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","1315621","2026-08-19T13:01:04Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/853feb45-1b81-4cf7-963b-cc6c55f440b0.png","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","1358555","2026-08-19T13:14:34Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/8a6e0ac1-ea7b-4f11-84ad-b948401724a2.png","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","1301217","2026-08-19T13:30:36Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/9629652d-18f1-456d-aa0f-9a031d07466e.png","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","1282885","2026-08-19T13:25:36Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/9c494800-ac7d-4498-b393-670d4b0b03f5.png","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","53906","2026-08-19T14:01:03Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/a93d0a2a-d44a-4442-a97d-f4d570395275.png","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","1322950","2026-08-19T13:24:30Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/anima-dual-lora-interaction-bleeding-test.bv-regional.json","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","3618","2026-08-19T13:18:24Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/anima-dual-lora-overlap-test.bv-regional.json","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","3187","2026-08-19T12:59:02Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/anima-dual-lora-strong-interaction-test.bv-regional.json","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","3414","2026-08-19T13:03:13Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/b84d8b0c-aff8-45ba-b3b0-92115ec5f8e1.png","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","67575","2026-08-19T14:05:01Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
".abacusai/temp/c4642b59-3208-49a9-ac20-e223948ad058.png","Remove","Ignored","Local tool or configuration artifact. Inspect for secrets and ownership first; remove only after explicit focused-cleanup approval.","1306465","2026-08-19T13:32:32Z","codex/regional-context-v3","6a14adb57e00a8fb04c4b6af88b053c675e8ccfc","2026-08-24"
